id,estado,nicho,subnicho,idioma,plataforma,formato,duracion_seg,objetivo,avatar,audiencia,dolor_principal,deseo_principal,miedo_principal,angulo,tipo_hook,historia_base,idea_central,tesis,enemigo,error_comun,transformacion_prometida,tono,emocion_principal,emocion_secundaria,nivel_intensidad,cta_tipo,cta_texto,prohibido,keywords,referencias,notas_direccion,ritmo,estilo_narracion,tipo_cierre,nivel_agresividad_copy,objetivo_retencion,render_targets,default_render_target,content_orientation,target_aspect_ratio
1,pending,finanzas,desarrollo personal,es,tiktok,video_corto,60,atraer,hombre 25-45 frustrado pero ambicioso,personas que trabajan duro sin progreso económico,no llegar a fin de mes,control financiero y libertad,quedarse atrapado en la rutina laboral,verdad_incomoda,afirmacion_directa,"trabajas más que nunca pero sigues igual","trabajar duro no genera riqueza por sí solo","sin estrategia financiera el esfuerzo se diluye","el sistema tiempo-dinero","creer que el sueldo es suficiente","despertar mental hacia ingresos inteligentes",directo,urgencia,ambicion,9,seguir,"Sígueme si quieres salir del sistema","no prometer dinero fácil,no sonar fantasioso","dinero,libertad,ingresos,mentalidad","estilo mentor sobrio","hook en primer segundo + cierre fuerte emocional",rapido,mentor_directo,golpe_emocional,9,alto,vertical,vertical,portrait,9:16
2,pending,finanzas,habitos financieros,es,reels,video_corto,45,educar,persona disciplinada pero desorganizada,clase media que no logra ahorrar,desorden financiero,paz mental y control,sentir que el dinero desaparece,solucion_practica,error_comun,"gana dinero pero nunca sabe dónde se va","el error invisible que vacía tu cuenta","no es cuánto ganas sino cómo gestionas","automatismos de gasto inconsciente","gastar sin sistema ni control","crear sistema simple de control diario",claro,claridad,alivio,7,guardar,"Guarda este video y aplícalo hoy","no tecnicismos,no vender cursos","habitos,gasto,control,orden","copy tipo anuncio emocional","estructura problema-solución clara",medio,autoridad_cercana,reflexion_clara,7,medio_alto,vertical,vertical,portrait,9:16
3,pending,finanzas,mentalidad de riqueza,es,shorts,video_corto,50,viralizar,persona ambiciosa bloqueada,interesados en crecimiento económico,mentalidad escasa,crecimiento económico real,seguir estancado mentalmente,comparacion,comparacion_extrema,"dos personas con mismo sueldo viven vidas opuestas","la diferencia real no es el ingreso sino la mentalidad","las decisiones definen el resultado financiero","creencias limitantes heredadas","pensar que ahorrar es suficiente","cambio de mentalidad hacia construcción de riqueza",intenso,ambicion,miedo,8,comentar,"Comenta RIQUEZA si quieres cambiar tu mentalidad","no sonar vendehumo,no exagerar riqueza","mentalidad,riqueza,decisiones","estilo directo sin adornos","contraste fuerte desde inicio",rapido,contundente,cierre_desafiante,8,alto,vertical,vertical,portrait,9:16
4,pending,finanzas,ingresos extras,es,tiktok,video_corto,60,atraer,empleado con poco tiempo,personas que quieren ingresos adicionales,falta de dinero extra,ingresos adicionales,depender solo del sueldo,solucion_practica,lista_rapida,"no tienes tiempo pero necesitas más dinero","3 formas reales de generar ingresos hoy","no necesitas dejar tu trabajo para empezar","el tiempo mal gestionado","esperar el momento perfecto","empezar pequeño y escalar ingresos",directo,esperanza,urgencia,7,seguir,"Sígueme para más formas reales de generar dinero","no prometer dinero rápido,no estafas","ingresos,extra,dinero,ideas","formato lista dinámica","cortes rápidos",rapido,dinamico,cierre_accion,7,alto,vertical,vertical,portrait,9:16
5,pending,finanzas,deudas,es,reels,video_corto,45,educar,persona endeudada,usuarios con tarjetas o préstamos,deudas acumuladas,liberarse de deudas,perder el control financiero,shock,hook_negativo,"nadie te dice esto sobre tus deudas","la deuda no es el problema, es tu sistema","sin control seguirás en ciclo infinito","intereses y malas decisiones","pagar mínimo siempre","plan de salida estructurado",serio,alerta,esperanza,8,guardar,"Guarda esto si quieres salir de deudas","no culpar,no juzgar","deuda,control,finanzas","tono empático fuerte","estructura problema-solución",medio,empatico,cierre_reflexivo,8,medio_alto,vertical,vertical,portrait,9:16
6,pending,finanzas,ahorro inteligente,es,shorts,video_corto,40,educar,persona que quiere ahorrar,clase media baja,incapacidad de ahorrar,ahorrar de forma constante,no tener colchón financiero,mito,romper_creencia,"ahorrar no funciona como te dijeron","no es guardar, es automatizar","sin sistema no hay ahorro","creencias antiguas","ahorrar lo que sobra","crear ahorro automático",claro,claridad,confianza,6,guardar,"Guarda esto para aplicarlo hoy","no tecnicismos","ahorro,dinero,sistema","mensaje simple","visual claro",medio,educativo,cierre_util,6,medio,vertical,vertical,portrait,9:16
7,pending,finanzas,psicologia del dinero,es,tiktok,video_corto,60,viralizar,persona emocional con dinero,personas impulsivas con gastos,gasto emocional,control emocional financiero,seguir gastando impulsivamente,insight,revelacion,"no compras por necesidad compras por emoción","tu dinero refleja tu mente","sin control emocional no hay riqueza","impulsos inconscientes","comprar para sentir","reprogramar relación con dinero",profundo,reflexion,culpa,8,comentar,"Comenta CONTROL si te pasa esto","no atacar,no humillar","emociones,dinero,psicologia","tono introspectivo","pausas estratégicas",medio,reflexivo,cierre_impactante,8,alto,vertical,vertical,portrait,9:16
8,pending,finanzas,errores financieros,es,reels,video_corto,45,educar,persona sin educación financiera,principiantes en dinero,errores constantes,mejorar decisiones,arruinar su futuro,error,lista_errores,"estos errores te mantienen pobre","3 errores que debes evitar","si no los corriges no avanzarás","ignorancia financiera","no educarse","corregir hábitos básicos",directo,alerta,urgencia,7,guardar,"Guarda para no cometer estos errores","no sonar superior","errores,dinero,aprendizaje","formato lista","ritmo rápido",rapido,directo,cierre_recordatorio,7,medio_alto,vertical,vertical,portrait,9:16
9,pending,finanzas,libertad financiera,es,shorts,video_corto,50,inspirar,persona cansada del sistema,personas atrapadas laboralmente,falta de libertad,independencia financiera,trabajar toda la vida,vision,vision_futuro,"no naciste para trabajar toda la vida","la libertad es una decisión","requiere estrategia no suerte","sistema laboral","conformarse","crear plan de salida",inspirador,esperanza,ambicion,9,seguir,"Sígueme si quieres libertad real","no prometer riqueza rápida","libertad,independencia","tono aspiracional","visual potente",medio,inspirador,cierre_emocional,9,alto,vertical,vertical,portrait,9:16
10,pending,finanzas,inversion basica,es,tiktok,video_corto,60,educar,principiante en inversión,personas que nunca han invertido,miedo a invertir,empezar a invertir,perder dinero,educativo,primer_paso,"invertir no es solo para ricos","puedes empezar con poco","lo importante es empezar","desinformación","no empezar","dar primer paso seguro",claro,confianza,seguridad,6,guardar,"Guarda esto si quieres empezar a invertir","no tecnicismos,no riesgos altos","inversion,inicio,dinero","explicación simple","estructura progresiva",medio,educativo,cierre_accion,6,medio,vertical,vertical,portrait,9:16
